2013-09-09 12:20:36.245 PM	doWork	Send Email to CC For status Completed
2013-09-09 12:20:37.979 PM	doWork	--------End------------
2013-09-09 12:24:31.787 PM	doWork	--------Start----------
2013-09-09 12:24:31.802 PM	doWork	Send email to Validator
2013-09-09 12:24:40.800 PM	doWork	Create SAP File
2013-09-09 12:24:41.581 PM	doWork	CrossCheck with PriceList - Assign Status Completed
2013-09-09 12:24:42.221 PM	doWork	Send Email to Creator for Status Rejected and (Validated and PriceType = STD) and Completed
2013-09-09 12:24:43.674 PM	doWork	Send Email to CC For status Completed
2013-09-09 12:24:45.283 PM	doWork	--------End------------
2013-09-09 12:25:02.528 PM	doWork	--------Start----------
2013-09-09 12:25:02.544 PM	doWork	Send email to Validator
2013-09-09 12:25:10.635 PM	doWork	Create SAP File
2013-09-09 12:25:11.494 PM	doWork	CrossCheck with PriceList - Assign Status Completed
2013-09-09 12:25:12.010 PM	doWork	Send Email to Creator for Status Rejected and (Validated and PriceType = STD) and Completed
2013-09-09 12:25:13.431 PM	doWork	Send Email to CC For status Completed
2013-09-09 12:25:14.915 PM	doWork	--------End------------
2013-09-09 12:26:05.948 PM	doWork	--------Start----------
2013-09-09 12:26:05.979 PM	doWork	Send email to Validator
2013-09-09 12:26:12.899 PM	doWork	Create SAP File
2013-09-09 12:26:12.914 PM	doWork	CrossCheck with PriceList - Assign Status Completed
2013-09-09 12:26:12.914 PM	doWork	Send Email to Creator for Status Rejected and (Validated and PriceType = STD) and Completed
2013-09-09 12:26:12.930 PM	doWork	Send Email to CC For status Completed
2013-09-09 12:26:12.930 PM	doWork	--------End------------
2013-09-09 12:31:24.780 PM	doWork	--------Start----------
2013-09-09 12:31:24.795 PM	doWork	Send email to Validator
2013-09-09 12:31:35.495 PM	doWork	Create SAP File
2013-09-09 12:31:35.636 PM	doWork	CrossCheck with PriceList - Assign Status Completed
2013-09-09 12:37:29.601 PM	doWork	--------Start----------
2013-09-09 12:37:29.616 PM	doWork	Send email to Validator
2013-09-09 12:37:33.506 PM	doWork	Create SAP File
2013-09-09 12:37:33.553 PM	doWork	CrossCheck with PriceList - Assign Status Completed
2013-09-09 12:39:56.514 PM	doWork	Send Email to Creator for Status Rejected and (Validated and PriceType = STD) and Completed
2013-09-09 12:42:03.954 PM	doWork	Send Email to CC For status Completed
2013-09-09 12:43:36.887 PM	doWork	--------End------------
2013-09-09 12:45:01.213 PM	doWork	--------Start----------
2013-09-09 12:45:01.229 PM	doWork	Send email to Validator
2013-09-09 12:45:04.774 PM	doWork	Create SAP File
2013-09-09 12:45:04.790 PM	doWork	CrossCheck with PriceList - Assign Status Completed
2013-09-09 12:45:43.322 PM	doWork	Send Email to Creator for Status Rejected and (Validated and PriceType = STD) and Completed
2013-09-09 12:45:44.072 PM	doWork	Send Email to CC For status Completed
2013-09-09 12:45:44.993 PM	doWork	--------End------------
2013-09-10 12:47:22.065 PM	doWork	--------Start----------
2013-09-10 12:47:22.096 PM	doWork	Send email to Validator
2013-09-10 12:47:22.503 PM	doWork	Create SAP File
2013-09-10 12:47:22.518 PM	doWork	CrossCheck with PriceList - Assign Status Completed
2013-11-08 11:27:07.050 AM	doWork	--------Start----------
2013-11-08 11:27:34.435 AM	doWork	CrossCheck with PriceList - Assign Status Completed
2013-11-08 11:44:49.307 AM	doWork	--------End------------
2014-01-29 11:38:22.264 AM	doWork	--------Start----------
2014-01-29 11:38:32.700 AM	doWork	Send email to Validator
2014-01-29 11:39:07.615 AM	doWork	Create SAP File
2014-01-29 11:45:23.389 AM	doWork	CrossCheck with PriceList - Assign Status Completed
2014-01-29 11:46:17.127 AM	doWork	--------Start----------
2014-01-29 11:46:28.137 AM	doWork	Create SAP File
2014-01-29 11:53:16.236 AM	doWork	CrossCheck with PriceList - Assign Status Completed
2014-01-29 11:53:33.298 AM	doWork	Send Email to Creator for Status Rejected and (Validated and PriceType = STD) and Completed
2014-01-29 11:54:40.685 AM	doWork	--------Start----------
2014-01-29 11:54:42.187 AM	doWork	Send email to Validator
2014-01-29 12:02:56.706 PM	doWork	Create SAP File
2014-01-29 12:03:11.796 PM	doWork	CrossCheck with PriceList - Assign Status Completed
2014-01-29 12:03:40.352 PM	doWork	Send Email to Creator for Status Rejected and (Validated and PriceType = STD) and Completed
2014-01-29 12:04:50.600 PM	doWork	Send Email to CC For status Completed
2014-01-29 12:05:00.753 PM	doWork	--------End------------
2014-02-11 02:34:05.245 PM	doWork	--------Start----------
2014-02-20 01:53:23.103 PM	doWork	--------Start----------
2014-02-20 01:54:08.794 PM	doWork	CrossCheck with PriceList - Assign Status Completed
2014-02-20 02:00:12.947 PM	doWork	--------Start----------
2014-02-20 02:00:24.416 PM	doWork	CrossCheck with PriceList - Assign Status Completed
2014-02-20 02:05:23.474 PM	doWork	Send Email to Creator for Status Rejected and (Validated and PriceType = STD) and Completed
2014-02-20 02:07:37.511 PM	doWork	Send Email to CC For status Completed
2014-02-20 02:08:01.564 PM	doWork	--------End------------
2014-07-30 02:25:49.997 PM	doWork	--------Start----------
2014-07-30 02:26:33.973 PM	doWork	--------Start----------
2014-07-30 02:26:40.312 PM	doWork	Send email to Validator
2014-07-30 02:33:04.448 PM	doWork	--------Start----------
2014-07-30 02:33:04.843 PM	doWork	Send email to Validator
2014-10-13 03:39:45.628 PM	doWork	--------Start----------
